Date,Open,High,Low,Close
11/03/2023,"46.37","46.43","44.84","45.58"
11/02/2023,"46.90","47.03","46.26","46.69"
11/01/2023,"48.93","49.03","47.78","47.89"
10/31/2023,"48.10","48.80","48.03","48.75"
10/30/2023,"48.96","49.22","48.67","48.75"
10/27/2023,"48.66","48.92","48.43","48.45"
10/26/2023,"49.64","49.83","48.42","48.45"
10/25/2023,"48.51","49.59","48.51","49.53"
10/24/2023,"48.70","48.89","48.27","48.40"
10/23/2023,"49.97","49.97","48.31","48.38"
10/20/2023,"49.78","49.93","48.92","49.24"
10/19/2023,"49.64","49.96","48.94","49.88"
10/18/2023,"48.39","49.28","48.34","49.04"
10/17/2023,"47.65","48.60","47.61","48.47"
10/16/2023,"46.91","47.25","46.66","47.12"
10/13/2023,"46.19","46.50","45.86","46.29"
10/12/2023,"45.44","47.28","45.32","47.12"
10/11/2023,"45.81","46.24","45.64","45.95"
10/10/2023,"47.03","47.13","46.18","46.55"
10/09/2023,"47.97","47.97","47.97","47.97"
10/06/2023,"47.40","48.87","47.40","47.84"
10/05/2023,"47.31","47.77","47.04","47.17"
10/04/2023,"47.56","47.94","47.27","47.35"
10/03/2023,"47.37","48.06","46.95","48.02"
10/02/2023,"46.31","47.03","46.27","46.83"
09/29/2023,"45.49","45.75","45.08","45.73"
09/28/2023,"46.24","46.88","45.97","45.97"
09/27/2023,"45.07","46.43","44.91","46.26"
09/26/2023,"44.85","45.64","44.83","45.58"
09/25/2023,"45.05","45.46","44.99","45.42"
09/22/2023,"44.74","44.86","44.24","44.38"
09/21/2023,"44.66","44.90","44.62","44.80"
09/20/2023,"43.39","43.61","43.13","43.49"
09/19/2023,"43.33","43.65","43.25","43.65"
09/18/2023,"43.37","43.59","43.11","43.19"
09/15/2023,"43.20","43.38","43.03","43.22"
09/14/2023,"42.29","42.98","42.23","42.88"
09/13/2023,"43.12","43.44","42.35","42.49"
09/12/2023,"42.86","42.98","42.64","42.64"
09/11/2023,"42.84","43.00","42.72","42.88"
09/08/2023,"42.58","42.64","42.13","42.58"
09/07/2023,"42.84","43.08","42.58","42.60"
09/06/2023,"42.42","43.06","42.40","42.90"
09/05/2023,"42.28","42.70","42.12","42.68"
09/01/2023,"40.97","42.00","40.60","41.73"
08/31/2023,"40.95","41.18","40.77","40.93"
08/30/2023,"41.37","41.55","40.87","41.18"
08/29/2023,"42.20","42.43","41.06","41.22"
08/28/2023,"42.32","42.34","41.94","42.12"
08/25/2023,"42.35","42.85","42.04","42.39"
08/24/2023,"42.23","42.39","41.90","42.35"
08/23/2023,"42.83","42.92","41.90","41.98"
08/22/2023,"43.10","43.62","43.10","43.28"
