Date,Open,High,Low,Close
11/03/2023,"2,430.75","2,490.97","2,430.75","2,478.34"
11/02/2023,"2,381.14","2,432.19","2,381.14","2,430.75"
11/01/2023,"2,366.40","2,381.14","2,348.48","2,381.14"
10/31/2023,"2,345.08","2,370.26","2,345.08","2,366.40"
10/30/2023,"2,326.82","2,353.26","2,324.98","2,345.08"
10/27/2023,"2,357.94","2,363.69","2,322.38","2,326.82"
10/26/2023,"2,346.60","2,375.19","2,346.60","2,357.94"
10/25/2023,"2,383.64","2,383.64","2,344.78","2,346.60"
10/24/2023,"2,370.67","2,399.77","2,370.67","2,383.64"
10/23/2023,"2,393.28","2,399.16","2,368.76","2,370.67"
10/20/2023,"2,420.15","2,425.85","2,391.10","2,393.28"
10/19/2023,"2,456.33","2,465.08","2,412.54","2,420.15"
10/18/2023,"2,511.15","2,511.15","2,455.01","2,456.33"
10/17/2023,"2,482.50","2,528.33","2,469.38","2,511.15"
10/16/2023,"2,442.80","2,487.06","2,442.80","2,482.50"
10/13/2023,"2,457.55","2,466.15","2,434.83","2,442.80"
10/12/2023,"2,505.33","2,507.55","2,443.77","2,457.55"
10/11/2023,"2,497.37","2,514.84","2,487.71","2,505.33"
10/10/2023,"2,473.99","2,513.42","2,473.99","2,497.37"
10/09/2023,"2,455.43","2,480.37","2,442.28","2,473.99"
10/06/2023,"2,435.86","2,469.11","2,413.97","2,455.43"
10/05/2023,"2,440.96","2,445.94","2,422.27","2,435.86"
10/04/2023,"2,428.35","2,443.12","2,410.08","2,440.96"
10/03/2023,"2,468.32","2,468.32","2,418.54","2,428.35"
10/02/2023,"2,502.12","2,502.12","2,458.20","2,468.32"
09/29/2023,"2,511.05","2,534.29","2,499.13","2,502.12"
09/28/2023,"2,485.04","2,521.75","2,484.33","2,511.05"
09/27/2023,"2,471.09","2,496.44","2,467.67","2,485.04"
09/26/2023,"2,509.96","2,509.96","2,470.76","2,471.09"
09/25/2023,"2,495.51","2,513.93","2,485.54","2,509.96"
09/22/2023,"2,498.86","2,513.06","2,495.04","2,495.51"
09/21/2023,"2,545.22","2,545.22","2,498.77","2,498.86"
09/20/2023,"2,558.64","2,581.78","2,544.61","2,545.22"
09/19/2023,"2,564.30","2,573.36","2,550.54","2,558.64"
09/18/2023,"2,567.33","2,574.26","2,558.92","2,564.30"
09/15/2023,"2,594.48","2,594.48","2,560.11","2,567.33"
09/14/2023,"2,563.03","2,595.86","2,563.03","2,594.48"
09/13/2023,"2,578.67","2,579.72","2,553.63","2,563.03"
09/12/2023,"2,577.72","2,590.68","2,572.56","2,578.67"
09/11/2023,"2,574.53","2,594.57","2,574.53","2,577.72"
09/08/2023,"2,577.07","2,584.50","2,569.94","2,574.53"
09/07/2023,"2,601.04","2,601.04","2,569.08","2,577.07"
09/06/2023,"2,608.92","2,622.67","2,588.77","2,601.04"
09/05/2023,"2,669.68","2,669.68","2,608.90","2,608.92"
09/01/2023,"2,659.76","2,675.01","2,659.56","2,669.68"
08/31/2023,"2,644.79","2,659.12","2,644.79","2,645.47"
08/30/2023,"2,638.60","2,654.22","2,636.74","2,644.79"
08/29/2023,"2,602.33","2,638.78","2,596.14","2,638.60"
08/28/2023,"2,579.20","2,615.87","2,579.20","2,602.33"
08/25/2023,"2,570.69","2,590.88","2,554.12","2,579.20"
08/24/2023,"2,597.14","2,610.88","2,570.52","2,570.69"
08/23/2023,"2,568.49","2,598.37","2,563.74","2,597.14"
08/22/2023,"2,581.33","2,589.96","2,564.95","2,568.49"
08/21/2023,"2,578.86","2,587.16","2,561.75","2,581.33"
08/18/2023,"2,571.01","2,584.07","2,551.38","2,578.86"
08/17/2023,"2,604.33","2,614.63","2,570.79","2,571.01"
08/16/2023,"2,628.81","2,637.44","2,604.33","2,604.33"
08/15/2023,"2,664.84","2,664.84","2,627.65","2,628.81"
08/14/2023,"2,660.55","2,665.12","2,640.22","2,664.84"
08/11/2023,"2,661.08","2,668.73","2,651.47","2,660.55"
08/10/2023,"2,665.62","2,695.11","2,652.23","2,661.08"
08/09/2023,"2,679.35","2,680.86","2,658.80","2,665.62"
08/08/2023,"2,703.15","2,703.15","2,652.12","2,679.35"
08/07/2023,"2,681.58","2,704.32","2,681.58","2,703.15"
08/04/2023,"2,682.49","2,709.25","2,678.07","2,681.58"
08/03/2023,"2,691.62","2,692.44","2,665.44","2,682.49"
08/02/2023,"2,721.86","2,721.86","2,681.82","2,691.62"
08/01/2023,"2,728.44","2,728.44","2,706.29","2,721.86"
07/31/2023,"2,716.88","2,733.30","2,716.88","2,728.44"
07/28/2023,"2,694.62","2,724.86","2,694.62","2,716.88"
07/27/2023,"2,727.70","2,743.01","2,688.80","2,694.62"
07/26/2023,"2,714.13","2,734.70","2,708.94","2,727.70"
07/25/2023,"2,708.86","2,726.59","2,700.84","2,714.13"
07/24/2023,"2,705.82","2,722.65","2,701.16","2,708.86"
07/21/2023,"2,711.72","2,725.37","2,703.12","2,705.82"
07/20/2023,"2,725.89","2,729.85","2,701.67","2,711.72"
07/19/2023,"2,716.21","2,730.26","2,714.65","2,725.89"
07/18/2023,"2,690.82","2,718.70","2,690.56","2,716.21"
07/17/2023,"2,673.94","2,696.91","2,664.43","2,690.82"
07/14/2023,"2,699.44","2,699.44","2,663.11","2,673.94"
07/13/2023,"2,684.12","2,702.20","2,684.12","2,699.44"
07/12/2023,"2,665.23","2,697.36","2,665.23","2,684.12"
07/11/2023,"2,635.77","2,668.20","2,635.77","2,665.23"
07/10/2023,"2,603.24","2,636.47","2,598.22","2,635.77"
07/07/2023,"2,579.29","2,625.08","2,578.67","2,603.24"
07/06/2023,"2,607.20","2,607.20","2,554.96","2,579.29"
07/05/2023,"2,630.48","2,630.48","2,603.85","2,607.20"
07/03/2023,"2,619.36","2,636.11","2,618.80","2,630.48"
06/30/2023,"2,605.36","2,632.54","2,605.36","2,622.34"
06/29/2023,"2,575.00","2,606.11","2,574.83","2,605.36"
06/28/2023,"2,575.33","2,575.95","2,560.41","2,575.00"
06/27/2023,"2,534.51","2,579.71","2,534.48","2,575.33"
06/26/2023,"2,514.94","2,547.25","2,514.94","2,534.51"
06/23/2023,"2,544.07","2,544.07","2,512.94","2,514.94"
06/22/2023,"2,558.21","2,558.21","2,532.53","2,544.07"
06/21/2023,"2,561.26","2,568.85","2,545.01","2,558.21"
06/20/2023,"2,580.07","2,580.07","2,548.86","2,561.26"
06/16/2023,"2,597.07","2,604.04","2,571.29","2,580.07"
