Date,Open,High,Low,Close
11/03/2023,"1,133.76","1,155.19","1,133.76","1,148.40"
11/02/2023,"1,098.49","1,118.23","1,098.49","1,117.89"
11/01/2023,"1,082.75","1,089.10","1,074.56","1,088.94"
10/31/2023,"1,076.98","1,085.64","1,074.60","1,084.10"
10/30/2023,"1,075.72","1,082.04","1,067.67","1,075.56"
10/27/2023,"1,080.41","1,081.96","1,065.49","1,068.80"
10/26/2023,"1,078.95","1,089.91","1,074.76","1,079.69"
10/25/2023,"1,084.07","1,085.37","1,074.62","1,076.40"
10/24/2023,"1,088.81","1,097.18","1,084.64","1,090.14"
10/23/2023,"1,089.85","1,099.03","1,083.01","1,083.03"
10/20/2023,"1,108.23","1,110.51","1,093.03","1,093.47"
10/19/2023,"1,122.35","1,129.54","1,104.82","1,106.56"
10/18/2023,"1,138.58","1,138.58","1,122.72","1,123.99"
10/17/2023,"1,126.86","1,155.25","1,124.87","1,145.54"
10/16/2023,"1,132.57","1,132.57","1,132.57","1,132.57"
10/13/2023,"1,128.70","1,129.86","1,110.61","1,112.76"
10/12/2023,"1,148.98","1,148.98","1,118.85","1,125.82"
10/11/2023,"1,146.60","1,154.59","1,140.05","1,147.79"
10/10/2023,"1,136.12","1,153.24","1,136.12","1,145.92"
10/09/2023,"1,119.13","1,136.96","1,118.03","1,133.49"
10/06/2023,"1,112.28","1,131.80","1,105.16","1,124.00"
10/05/2023,"1,117.06","1,120.93","1,110.48","1,117.69"
10/04/2023,"1,116.90","1,121.76","1,106.22","1,119.48"
10/03/2023,"1,130.43","1,131.19","1,113.10","1,116.45"
10/02/2023,"1,149.06","1,149.97","1,130.26","1,136.25"
09/29/2023,"1,166.09","1,167.95","1,149.30","1,151.26"
09/28/2023,"1,145.87","1,165.32","1,145.85","1,159.12"
09/27/2023,"1,140.91","1,152.22","1,138.16","1,146.15"
09/26/2023,"1,144.69","1,150.96","1,134.45","1,134.45"
09/25/2023,"1,141.83","1,154.38","1,140.33","1,151.65"
09/22/2023,"1,152.85","1,156.72","1,146.37","1,146.45"
09/21/2023,"1,160.21","1,160.91","1,149.96","1,149.96"
09/20/2023,"1,181.73","1,188.37","1,166.91","1,167.02"
09/19/2023,"1,180.71","1,185.77","1,173.95","1,176.48"
09/18/2023,"1,187.15","1,187.25","1,179.52","1,179.58"
09/15/2023,"1,195.72","1,195.91","1,179.41","1,186.40"
09/14/2023,"1,186.28","1,198.11","1,185.96","1,197.88"
09/13/2023,"1,185.33","1,187.13","1,175.77","1,178.52"
09/12/2023,"1,184.29","1,190.54","1,183.45","1,185.37"
09/11/2023,"1,190.94","1,195.80","1,185.73","1,186.34"
09/08/2023,"1,190.08","1,190.49","1,183.12","1,185.50"
09/07/2023,"1,196.44","1,196.63","1,185.05","1,190.03"
09/06/2023,"1,204.26","1,212.28","1,193.57","1,199.86"
09/05/2023,"1,232.17","1,232.09","1,202.64","1,202.64"
09/01/2023,"1,234.26","1,244.66","1,234.16","1,239.34"
08/31/2023,"1,228.62","1,235.54","1,226.53","1,226.89"
08/30/2023,"1,221.11","1,232.30","1,219.99","1,228.42"
08/29/2023,"1,206.26","1,222.87","1,202.81","1,222.82"
08/28/2023,"1,200.92","1,214.26","1,200.85","1,206.80"
08/25/2023,"1,199.01","1,202.83","1,183.82","1,196.69"
08/24/2023,"1,203.66","1,213.01","1,194.41","1,194.87"
08/23/2023,"1,206.25","1,206.25","1,206.25","1,206.25"
08/22/2023,"1,193.44","1,193.44","1,193.44","1,193.44"
08/21/2023,"1,201.89","1,205.15","1,191.23","1,196.21"
08/18/2023,"1,201.38","1,201.38","1,201.38","1,201.38"
08/17/2023,"1,211.32","1,214.70","1,195.98","1,196.07"
08/16/2023,"1,221.43","1,228.86","1,208.29","1,208.29"
08/15/2023,"1,230.03","1,230.51","1,222.55","1,222.94"
08/14/2023,"1,238.27","1,238.43","1,226.99","1,237.11"
08/11/2023,"1,240.44","1,248.51","1,238.83","1,243.65"
08/10/2023,"1,253.03","1,265.39","1,240.46","1,244.82"
08/09/2023,"1,256.13","1,256.05","1,243.59","1,249.55"
08/08/2023,"1,255.69","1,258.84","1,241.49","1,258.40"
08/07/2023,"1,260.52","1,267.43","1,256.69","1,266.76"
08/04/2023,"1,260.30","1,271.52","1,256.06","1,259.51"
08/03/2023,"1,260.77","1,265.22","1,250.28","1,260.26"
08/02/2023,"1,266.82","1,267.50","1,259.76","1,264.89"
08/01/2023,"1,277.16","1,277.43","1,265.07","1,276.12"
07/31/2023,"1,272.90","1,282.58","1,272.97","1,282.43"
07/28/2023,"1,267.05","1,275.25","1,266.41","1,271.09"
07/27/2023,"1,279.05","1,280.48","1,255.66","1,259.40"
07/26/2023,"1,262.04","1,275.36","1,260.81","1,272.21"
07/25/2023,"1,262.36","1,270.60","1,260.16","1,263.58"
07/24/2023,"1,256.89","1,267.37","1,256.62","1,264.47"
07/21/2023,"1,266.85","1,269.48","1,255.65","1,256.75"
07/20/2023,"1,270.45","1,270.52","1,256.02","1,260.97"
07/19/2023,"1,266.99","1,272.24","1,263.47","1,270.99"
07/18/2023,"1,246.96","1,264.27","1,246.89","1,263.59"
07/17/2023,"1,235.39","1,250.72","1,233.84","1,246.20"
07/14/2023,"1,246.31","1,246.60","1,228.04","1,236.66"
07/13/2023,"1,240.80","1,248.59","1,238.73","1,247.60"
07/12/2023,"1,239.07","1,245.96","1,238.09","1,239.85"
07/11/2023,"1,218.94","1,228.22","1,217.68","1,226.90"
07/10/2023,"1,198.32","1,217.69","1,196.72","1,215.42"
07/07/2023,"1,189.00","1,209.81","1,188.81","1,199.83"
07/06/2023,"1,195.40","1,197.17","1,176.54","1,187.92"
07/05/2023,"1,219.11","1,219.23","1,205.17","1,205.47"
07/03/2023,"1,214.36","1,224.58","1,214.08","1,223.88"
06/30/2023,"1,221.86","1,225.18","1,215.58","1,216.35"
06/29/2023,"1,196.67","1,216.10","1,196.71","1,214.95"
06/28/2023,"1,192.26","1,196.22","1,186.81","1,195.28"
06/27/2023,"1,174.87","1,197.42","1,173.54","1,193.92"
06/26/2023,"1,166.40","1,183.77","1,166.65","1,173.39"
06/23/2023,"1,174.73","1,181.07","1,164.00","1,166.32"
06/22/2023,"1,195.33","1,195.20","1,181.86","1,185.83"
06/21/2023,"1,195.48","1,205.48","1,190.94","1,197.96"
06/20/2023,"1,202.36","1,203.02","1,194.28","1,199.60"
06/16/2023,"1,214.44","1,219.87","1,196.98","1,204.80"
06/15/2023,"1,195.35","1,210.52","1,194.27","1,209.74"
06/14/2023,"1,217.12","1,221.30","1,194.21","1,199.06"
06/13/2023,"1,208.09","1,223.81","1,207.75","1,215.44"
06/12/2023,"1,201.90","1,210.75","1,197.33","1,204.11"
06/09/2023,"1,211.00","1,211.31","1,199.35","1,201.43"
06/08/2023,"1,216.10","1,216.26","1,202.06","1,211.46"
06/07/2023,"1,197.05","1,222.88","1,196.31","1,219.16"
06/06/2023,"1,155.51","1,193.81","1,154.00","1,190.54"
06/05/2023,"1,177.59","1,178.09","1,146.45","1,157.70"
06/02/2023,"1,147.70","1,182.85","1,147.34","1,181.71"
06/01/2023,"1,127.06","1,138.74","1,120.98","1,135.58"
05/31/2023,"1,136.30","1,140.99","1,119.06","1,125.94"
05/30/2023,"1,148.75","1,151.95","1,137.86","1,140.87"
05/26/2023,"1,134.22","1,148.49","1,133.72","1,146.48"
05/25/2023,"1,135.07","1,137.27","1,123.16","1,133.67"
05/24/2023,"1,148.27","1,148.39","1,133.47","1,137.36"
05/23/2023,"1,151.27","1,169.44","1,149.64","1,152.01"
05/22/2023,"1,147.28","1,158.42","1,142.21","1,153.27"
